GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp-4A-2020,com.esiea.tp4A.domain,Position,7,0,0,0,1,0,1,0,1,0
tp-4A-2020,com.esiea.tp4A.domain,Position.FixedPosition,3,18,0,0,1,7,1,3,1,3
tp-4A-2020,com.esiea.tp4A.domain,MarsRover,11,0,0,0,4,0,4,0,4,0
tp-4A-2020,com.esiea.tp4A.domain,Direction,0,44,0,0,0,2,0,1,0,1
tp-4A-2020,com.esiea.tp4A,CondMvt,0,118,8,8,0,15,8,7,0,7
tp-4A-2020,com.esiea.tp4A,RoverMovment,21,79,10,10,6,23,10,12,0,6
tp-4A-2020,com.esiea.tp4A,Laser,107,45,17,4,16,12,14,4,3,3
tp-4A-2020,com.esiea.tp4A,Mars,27,118,8,6,2,28,7,7,3,4
tp-4A-2020,com.esiea.tp4A,Rover,6,46,3,7,1,18,3,7,0,3
